iter	Passed	Remaining
0	1	125
1	1	95
2	2	89
3	3	84
4	4	83
5	5	79
6	5	76
7	6	74
8	7	72
9	7	70
10	8	69
11	9	68
12	9	66
13	10	65
14	11	64
15	12	64
16	12	62
17	13	62
18	14	61
19	15	60
20	15	59
21	16	58
22	17	57
23	17	56
24	18	55
25	19	54
26	20	54
27	20	53
28	21	52
29	21	51
30	22	50
31	23	49
32	23	48
33	24	47
34	25	47
35	26	46
36	26	45
37	27	45
38	28	44
39	28	43
40	29	42
41	30	41
42	30	40
43	31	39
44	31	38
45	32	37
46	32	37
47	33	36
48	34	36
49	35	35
50	36	34
51	36	34
52	37	33
53	38	32
54	39	32
55	39	31
56	40	30
57	41	30
58	42	29
59	43	28
60	43	27
61	44	27
62	45	26
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	48	21
69	49	21
70	50	20
71	50	19
72	51	18
73	52	18
74	52	17
75	53	16
76	53	16
77	54	15
78	55	14
79	55	13
80	56	13
81	57	12
82	57	11
83	58	11
84	58	10
85	59	9
86	60	8
87	60	8
88	61	7
89	62	6
90	62	6
91	63	5
92	63	4
93	64	4
94	65	3
95	66	2
96	66	2
97	67	1
98	68	0
99	68	0
