iter	Passed	Remaining
0	1	1518
1	2	1319
2	3	1238
3	4	1239
4	6	1223
5	7	1221
6	8	1219
7	9	1195
8	10	1191
9	14	1472
10	16	1482
11	17	1453
12	18	1423
13	19	1407
14	21	1387
15	22	1360
16	23	1338
17	24	1316
18	25	1303
19	27	1328
20	29	1368
21	30	1357
22	31	1346
23	32	1338
24	34	1330
25	35	1326
26	36	1320
27	37	1310
28	38	1303
29	39	1291
30	41	1286
31	42	1291
32	44	1292
33	45	1297
34	47	1302
35	48	1304
36	49	1298
37	50	1289
38	52	1282
39	53	1274
40	54	1271
41	55	1276
42	57	1281
43	59	1287
44	60	1281
45	61	1273
46	62	1269
47	63	1262
48	64	1255
49	65	1250
50	66	1246
51	67	1237
52	69	1233
53	70	1229
54	72	1241
55	73	1246
56	75	1245
57	76	1243
58	77	1237
59	78	1232
60	79	1226
61	80	1221
62	81	1218
63	82	1213
64	84	1212
65	85	1215
66	88	1226
67	89	1222
68	90	1217
69	91	1213
70	92	1208
71	93	1204
72	94	1199
73	95	1195
74	96	1191
75	97	1186
76	98	1181
77	100	1185
78	102	1195
79	103	1192
80	104	1190
81	106	1187
82	106	1178
83	107	1174
84	109	1174
85	110	1173
86	111	1170
87	112	1167
88	113	1165
89	116	1175
90	118	1180
91	119	1176
92	120	1172
93	121	1170
94	122	1166
95	123	1163
96	124	1159
97	125	1155
98	126	1152
99	127	1149
100	128	1146
101	130	1149
102	132	1155
103	134	1154
104	135	1152
105	136	1149
106	137	1147
107	138	1144
108	139	1142
109	141	1147
110	142	1144
111	143	1140
112	145	1143
113	147	1147
114	149	1148
115	150	1147
116	151	1142
117	152	1139
118	153	1137
119	154	1135
120	155	1132
121	156	1128
122	157	1125
123	158	1123
124	160	1125
125	162	1129
126	163	1124
127	164	1121
128	165	1118
129	166	1115
130	167	1112
131	168	1110
132	169	1108
133	171	1105
134	172	1102
135	172	1098
136	175	1103
137	176	1103
138	177	1100
139	178	1097
140	179	1094
141	180	1088
142	181	1085
143	182	1082
144	183	1080
145	184	1077
146	185	1074
147	186	1072
148	187	1070
149	189	1074
150	191	1074
151	192	1071
152	193	1068
153	194	1065
154	195	1064
155	196	1062
156	197	1060
157	198	1057
158	199	1054
159	200	1052
160	201	1048
161	202	1046
162	204	1049
163	206	1050
164	207	1047
165	208	1046
166	209	1043
167	210	1041
168	211	1038
169	212	1035
170	213	1033
171	214	1031
172	215	1028
173	216	1026
174	217	1023
175	220	1031
176	221	1028
177	222	1025
178	223	1023
179	224	1020
180	224	1017
181	225	1014
182	226	1012
183	227	1009
184	228	1007
185	229	1004
186	230	1002
187	231	999
188	232	997
189	234	997
190	236	999
191	237	998
192	238	995
193	239	993
194	240	991
195	241	990
196	242	989
197	243	987
198	244	984
199	245	982
200	246	980
201	248	982
202	250	983
203	251	981
204	253	981
205	254	981
206	255	979
207	257	979
208	258	978
209	259	976
210	260	974
211	261	973
212	264	978
213	265	976
214	266	974
215	267	972
216	268	970
217	269	967
218	270	965
219	271	963
220	272	961
221	273	960
222	274	957
223	275	955
224	277	955
225	279	957
226	280	955
227	281	953
228	282	951
229	283	949
230	284	948
231	285	946
232	287	945
233	288	943
234	289	941
235	290	940
236	292	940
237	294	942
238	295	941
239	296	939
240	297	938
241	299	936
242	300	935
243	302	936
244	303	934
245	304	932
246	305	931
247	307	933
248	309	933
249	310	932
250	311	930
251	312	928
252	313	926
253	314	924
254	315	922
255	316	920
256	317	919
257	319	917
258	320	915
259	321	914
260	323	916
261	325	915
262	326	914
263	327	912
264	328	910
265	329	908
266	330	907
267	331	905
268	332	903
269	333	902
270	335	901
271	338	907
272	340	906
273	341	904
274	342	903
275	343	901
276	344	899
277	345	898
278	346	896
279	348	895
280	349	893
281	350	891
282	351	889
283	353	890
284	354	888
285	355	887
286	356	885
287	357	883
288	358	881
289	359	879
290	360	878
291	361	876
292	362	874
293	363	873
294	364	871
295	369	878
296	370	877
297	371	875
298	372	874
299	373	872
300	375	870
301	376	869
302	377	868
303	378	866
304	379	864
305	381	865
306	384	866
307	385	865
308	386	864
309	387	862
310	388	860
311	389	859
312	390	858
313	392	856
314	393	854
315	394	852
316	395	851
317	397	851
318	398	851
319	399	849
320	400	847
321	401	845
322	402	843
323	403	841
324	404	840
325	405	838
326	406	836
327	407	834
328	408	833
329	409	831
330	411	830
331	412	830
332	413	828
333	414	827
334	415	825
335	416	823
336	417	821
337	418	819
338	419	817
339	420	815
340	421	813
341	422	812
342	422	810
343	423	808
344	425	807
345	427	807
346	428	805
347	429	804
348	430	802
349	431	800
350	431	798
351	432	796
352	433	795
353	434	793
354	435	791
355	436	789
356	437	788
357	438	786
358	439	784
359	441	784
360	442	783
361	443	782
362	444	780
363	445	778
364	446	776
365	447	775
366	448	773
367	449	771
368	450	770
369	451	768
370	452	767
371	453	765
372	454	764
373	456	764
374	457	762
375	458	761
376	459	759
377	460	757
378	461	755
379	462	753
380	463	752
381	464	750
382	465	749
383	466	747
384	466	745
385	468	744
386	469	743
387	470	741
388	471	741
389	472	739
390	473	737
391	474	736
392	475	734
393	476	732
394	477	731
395	478	729
396	479	727
397	480	726
398	481	724
399	482	723
400	483	722
401	485	722
402	486	721
403	487	719
404	488	718
405	489	716
406	490	714
407	491	713
408	492	712
409	493	710
410	494	709
411	495	707
412	496	705
413	497	704
414	499	703
415	500	703
416	501	701
417	502	699
418	503	698
419	504	696
420	505	695
421	506	693
422	507	692
423	508	691
424	509	689
425	510	688
426	511	686
427	512	684
428	516	686
429	516	685
430	518	683
431	519	682
432	520	681
433	521	680
434	522	678
435	523	677
436	524	675
437	525	674
438	526	673
439	528	672
440	529	671
441	530	669
442	532	669
443	533	668
444	535	667
445	536	666
446	537	664
447	538	663
448	540	662
449	541	661
